,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'LEMONADE SCHNAPPS'}),frozenset({'SINGLE MALT SCOTCH'}),0.0011061946902654867,0.1084070796460177,0.0011061946902654867,1.0,9.224489795918368,1.0,0.0009862753543738742,inf,0.8925802879291251,0.01020408163265306,1.0,0.5051020408163265
1,"frozenset({'SINGLE BARREL BOURBON WHISKIES', 'IRISH WHISKIES'})",frozenset({'AMERICAN COCKTAILS'}),0.0014749262536873156,0.11946902654867257,0.0014749262536873156,1.0,8.37037037037037,1.0,0.0012987182499282115,inf,0.8818316100443131,0.012345679012345677,1.0,0.5061728395061729
2,"frozenset({'SINGLE BARREL BOURBON WHISKIES', 'AMERICAN COCKTAILS'})",frozenset({'IRISH WHISKIES'}),0.0014749262536873156,0.02654867256637168,0.0014749262536873156,1.0,37.666666666666664,1.0,0.0014357689195186258,inf,0.9748892171344165,0.05555555555555555,1.0,0.5277777777777778
3,"frozenset({'PUERTO RICO & VIRGIN ISLANDS RUM', 'WHISKEY LIQUEUR'})",frozenset({'AMERICAN COCKTAILS'}),0.0011061946902654867,0.11946902654867257,0.0011061946902654867,1.0,8.37037037037037,1.0,0.0009740386874461586,inf,0.8815060908084164,0.009259259259259259,1.0,0.5046296296296297
4,"frozenset({'PRIVATE LABEL TEQUILA', 'AMERICAN DRY GINS'})",frozenset({'MISC. IMPORTED CORDIALS & LIQUEURS'}),0.0011061946902654867,0.12278761061946902,0.0011061946902654867,1.0,8.144144144144144,1.0,0.000970367687367844,inf,0.8781838316722038,0.009009009009009009,1.0,0.5045045045045045
5,"frozenset({'BLENDED WHISKIES', 'COFFEE LIQUEURS'})",frozenset({'CANADIAN WHISKIES'}),0.0011061946902654867,0.0612094395280236,0.0011061946902654867,1.0,16.337349397590362,1.0,0.0010384851332654605,inf,0.939830195644149,0.018072289156626505,1.0,0.5090361445783133
6,"frozenset({'BLENDED WHISKIES', 'COFFEE LIQUEURS'})",frozenset({'SINGLE MALT SCOTCH'}),0.0011061946902654867,0.1084070796460177,0.0011061946902654867,1.0,9.224489795918368,1.0,0.0009862753543738742,inf,0.8925802879291251,0.01020408163265306,1.0,0.5051020408163265
7,"frozenset({'BLENDED WHISKIES', 'COFFEE LIQUEURS'})",frozenset({'VODKA FLAVORED'}),0.0011061946902654867,0.1544985250737463,0.0011061946902654867,1.0,6.47255369928401,1.0,0.0009352892421750594,inf,0.8464377999261721,0.007159904534606206,1.0,0.5035799522673031
8,"frozenset({'HIGH PROOF BEER - AMERICAN', 'CANADIAN WHISKIES'})",frozenset({'FLAVORED RUM'}),0.0011061946902654867,0.06747787610619468,0.0011061946902654867,1.0,14.819672131147541,1.0,0.0010315510220064218,inf,0.9335548172757475,0.01639344262295082,1.0,0.5081967213114754
9,"frozenset({'CANADIAN WHISKIES', 'IRISH WHISKIES'})",frozenset({'IMPORTED VODKA'}),0.0011061946902654867,0.0866519174041298,0.0011061946902654867,1.0,11.540425531914893,1.0,0.0010103407993317147,inf,0.9143595422665189,0.01276595744680851,1.0,0.5063829787234042
10,"frozenset({'IMPORTED VODKA', 'COFFEE LIQUEURS'})",frozenset({'SINGLE MALT SCOTCH'}),0.0011061946902654867,0.1084070796460177,0.0011061946902654867,1.0,9.224489795918368,1.0,0.0009862753543738742,inf,0.8925802879291251,0.01020408163265306,1.0,0.5051020408163265
11,"frozenset({'MISCELLANEOUS SCHNAPPS', 'IMPORTED VODKA - MISC'})",frozenset({'DECANTERS & SPECIALTY PACKAGES'}),0.0011061946902654867,0.19358407079646017,0.0011061946902654867,1.0,5.1657142857142855,1.0,0.0008920530190304643,inf,0.8073089700996677,0.005714285714285714,1.0,0.5028571428571429
12,"frozenset({'HIGH PROOF BEER - AMERICAN', 'STRAIGHT BOURBON WHISKIES'})",frozenset({'FLAVORED RUM'}),0.0011061946902654867,0.06747787610619468,0.0011061946902654867,1.0,14.819672131147541,1.0,0.0010315510220064218,inf,0.9335548172757475,0.01639344262295082,1.0,0.5081967213114754
13,"frozenset({'HIGH PROOF BEER - AMERICAN', 'SINGLE MALT SCOTCH'})",frozenset({'IMPORTED ALE'}),0.0011061946902654867,0.09402654867256637,0.0011061946902654867,1.0,10.63529411764706,1.0,0.0010021830213799044,inf,0.9069767441860465,0.011764705882352941,1.0,0.5058823529411764
14,"frozenset({'MISCELLANEOUS SCHNAPPS', 'IMPORTED VODKA'})",frozenset({'SINGLE MALT SCOTCH'}),0.0014749262536873156,0.1084070796460177,0.0014749262536873156,1.0,9.224489795918368,1.0,0.0013150338058318322,inf,0.8929098966026586,0.013605442176870748,1.0,0.5068027210884354
15,"frozenset({'MISCELLANEOUS SCHNAPPS', 'MISCELLANEOUS  BRANDIES'})",frozenset({'SINGLE MALT SCOTCH'}),0.0011061946902654867,0.1084070796460177,0.0011061946902654867,1.0,9.224489795918368,1.0,0.0009862753543738742,inf,0.8925802879291251,0.01020408163265306,1.0,0.5051020408163265
16,"frozenset({'OTHER PROOF VODKA', 'STRAIGHT BOURBON WHISKIES'})",frozenset({'TEQUILA'}),0.0011061946902654867,0.11504424778761062,0.0011061946902654867,1.0,8.692307692307692,1.0,0.000978933354217245,inf,0.8859357696567,0.009615384615384616,1.0,0.5048076923076923
17,"frozenset({'PUERTO RICO & VIRGIN ISLANDS RUM', 'WHISKEY LIQUEUR'})",frozenset({'TEQUILA'}),0.0011061946902654867,0.11504424778761062,0.0011061946902654867,1.0,8.692307692307692,1.0,0.000978933354217245,inf,0.8859357696567,0.009615384615384616,1.0,0.5048076923076923
18,"frozenset({'CANADIAN WHISKIES', 'BLENDED WHISKIES', 'AMERICAN COCKTAILS'})",frozenset({'AMERICAN DRY GINS'}),0.0011061946902654867,0.0357669616519174,0.0011061946902654867,1.0,27.95876288659794,1.0,0.0010666294671992063,inf,0.9653008490217793,0.030927835051546393,1.0,0.5154639175257731
19,"frozenset({'CANADIAN WHISKIES', 'AMERICAN DRY GINS', 'AMERICAN COCKTAILS'})",frozenset({'BLENDED WHISKIES'}),0.0011061946902654867,0.029129793510324485,0.0011061946902654867,1.0,34.32911392405063,1.0,0.0010739714673558358,inf,0.9719453672942047,0.0379746835443038,1.0,0.5189873417721519
20,"frozenset({'SINGLE MALT SCOTCH', 'BLENDED WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'AMERICAN COCKTAILS'}),0.0011061946902654867,0.11946902654867257,0.0011061946902654867,1.0,8.37037037037037,1.0,0.0009740386874461586,inf,0.8815060908084164,0.009259259259259259,1.0,0.5046296296296297
21,"frozenset({'STRAIGHT BOURBON WHISKIES', 'AMERICAN DRY GINS', 'AMERICAN COCKTAILS'})",frozenset({'BLENDED WHISKIES'}),0.0011061946902654867,0.029129793510324485,0.0011061946902654867,1.0,34.32911392405063,1.0,0.0010739714673558358,inf,0.9719453672942047,0.0379746835443038,1.0,0.5189873417721519
22,"frozenset({'SINGLE MALT SCOTCH', 'CANADIAN WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'AMERICAN COCKTAILS'}),0.0011061946902654867,0.11946902654867257,0.0011061946902654867,1.0,8.37037037037037,1.0,0.0009740386874461586,inf,0.8815060908084164,0.009259259259259259,1.0,0.5046296296296297
23,"frozenset({'SINGLE MALT SCOTCH', 'CANADIAN WHISKIES', 'AMERICAN COCKTAILS'})",frozenset({'AMERICAN DRY GINS'}),0.0011061946902654867,0.0357669616519174,0.0011061946902654867,1.0,27.95876288659794,1.0,0.0010666294671992063,inf,0.9653008490217793,0.030927835051546393,1.0,0.5154639175257731
24,"frozenset({'CANADIAN WHISKIES', 'AMERICAN DRY GINS', 'AMERICAN COCKTAILS'})",frozenset({'SINGLE MALT SCOTCH'}),0.0011061946902654867,0.1084070796460177,0.0011061946902654867,1.0,9.224489795918368,1.0,0.0009862753543738742,inf,0.8925802879291251,0.01020408163265306,1.0,0.5051020408163265
25,"frozenset({'CANADIAN WHISKIES', 'AMERICAN DRY GINS', 'AMERICAN COCKTAILS'})",frozenset({'STRAIGHT BOURBON WHISKIES'}),0.0011061946902654867,0.08775811209439528,0.0011061946902654867,1.0,11.394957983193278,1.0,0.0010091171326389431,inf,0.9132521225544481,0.012605042016806723,1.0,0.5063025210084033
26,"frozenset({'STRAIGHT BOURBON WHISKIES', 'AMERICAN DRY GINS', 'AMERICAN COCKTAILS'})",frozenset({'CANADIAN WHISKIES'}),0.0011061946902654867,0.0612094395280236,0.0011061946902654867,1.0,16.337349397590362,1.0,0.0010384851332654605,inf,0.939830195644149,0.018072289156626505,1.0,0.5090361445783133
27,"frozenset({'SINGLE MALT SCOTCH', 'STRAIGHT BOURBON WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'AMERICAN COCKTAILS'}),0.0011061946902654867,0.11946902654867257,0.0011061946902654867,1.0,8.37037037037037,1.0,0.0009740386874461586,inf,0.8815060908084164,0.009259259259259259,1.0,0.5046296296296297
28,"frozenset({'STRAIGHT BOURBON WHISKIES', 'AMERICAN DRY GINS', 'AMERICAN COCKTAILS'})",frozenset({'SINGLE MALT SCOTCH'}),0.0011061946902654867,0.1084070796460177,0.0011061946902654867,1.0,9.224489795918368,1.0,0.0009862753543738742,inf,0.8925802879291251,0.01020408163265306,1.0,0.5051020408163265
29,"frozenset({'SINGLE MALT SCOTCH', 'CANADIAN WHISKIES', 'AMERICAN COCKTAILS'})",frozenset({'BLENDED WHISKIES'}),0.0011061946902654867,0.029129793510324485,0.0011061946902654867,1.0,34.32911392405063,1.0,0.0010739714673558358,inf,0.9719453672942047,0.0379746835443038,1.0,0.5189873417721519
30,"frozenset({'CANADIAN WHISKIES', 'BLENDED WHISKIES', 'AMERICAN COCKTAILS'})",frozenset({'SINGLE MALT SCOTCH'}),0.0011061946902654867,0.1084070796460177,0.0011061946902654867,1.0,9.224489795918368,1.0,0.0009862753543738742,inf,0.8925802879291251,0.01020408163265306,1.0,0.5051020408163265
31,"frozenset({'CANADIAN WHISKIES', 'BLENDED WHISKIES', 'AMERICAN COCKTAILS'})",frozenset({'STRAIGHT BOURBON WHISKIES'}),0.0011061946902654867,0.08775811209439528,0.0011061946902654867,1.0,11.394957983193278,1.0,0.0010091171326389431,inf,0.9132521225544481,0.012605042016806723,1.0,0.5063025210084033
32,"frozenset({'SINGLE MALT SCOTCH', 'CANADIAN WHISKIES', 'AMERICAN COCKTAILS'})",frozenset({'STRAIGHT BOURBON WHISKIES'}),0.0011061946902654867,0.08775811209439528,0.0011061946902654867,1.0,11.394957983193278,1.0,0.0010091171326389431,inf,0.9132521225544481,0.012605042016806723,1.0,0.5063025210084033
33,"frozenset({'PUERTO RICO & VIRGIN ISLANDS RUM', 'FLAVORED RUM', 'AMERICAN COCKTAILS'})",frozenset({'DECANTERS & SPECIALTY PACKAGES'}),0.0011061946902654867,0.19358407079646017,0.0011061946902654867,1.0,5.1657142857142855,1.0,0.0008920530190304643,inf,0.8073089700996677,0.005714285714285714,1.0,0.5028571428571429
34,"frozenset({'MISC. IMPORTED CORDIALS & LIQUEURS', 'DECANTERS & SPECIALTY PACKAGES', 'WHISKEY LIQUEUR'})",frozenset({'AMERICAN COCKTAILS'}),0.0011061946902654867,0.11946902654867257,0.0011061946902654867,1.0,8.37037037037037,1.0,0.0009740386874461586,inf,0.8815060908084164,0.009259259259259259,1.0,0.5046296296296297
35,"frozenset({'SINGLE MALT SCOTCH', 'SCOTCH WHISKIES', 'DECANTERS & SPECIALTY PACKAGES'})",frozenset({'AMERICAN COCKTAILS'}),0.0011061946902654867,0.11946902654867257,0.0011061946902654867,1.0,8.37037037037037,1.0,0.0009740386874461586,inf,0.8815060908084164,0.009259259259259259,1.0,0.5046296296296297
36,"frozenset({'FLAVORED RUM', 'SCOTCH WHISKIES', 'AMERICAN COCKTAILS'})",frozenset({'SINGLE MALT SCOTCH'}),0.0014749262536873156,0.1084070796460177,0.0014749262536873156,1.0,9.224489795918368,1.0,0.0013150338058318322,inf,0.8929098966026586,0.013605442176870748,1.0,0.5068027210884354
37,"frozenset({'FLAVORED RUM', 'SCOTCH WHISKIES', 'AMERICAN COCKTAILS'})",frozenset({'STRAIGHT BOURBON WHISKIES'}),0.0014749262536873156,0.08775811209439528,0.0014749262536873156,1.0,11.394957983193278,1.0,0.0013454895101852576,inf,0.9135893648449038,0.016806722689075626,1.0,0.5084033613445378
38,"frozenset({'SINGLE MALT SCOTCH', 'FLAVORED RUM', 'STRAIGHT BOURBON WHISKIES'})",frozenset({'AMERICAN COCKTAILS'}),0.0018436578171091445,0.11946902654867257,0.0018436578171091445,1.0,8.37037037037037,1.0,0.0016233978124102644,inf,0.8821573697820465,0.015432098765432098,1.0,0.5077160493827161
39,"frozenset({'TEQUILA', 'FLAVORED RUM', 'AMERICAN COCKTAILS'})",frozenset({'SINGLE MALT SCOTCH'}),0.0014749262536873156,0.1084070796460177,0.0014749262536873156,1.0,9.224489795918368,1.0,0.0013150338058318322,inf,0.8929098966026586,0.013605442176870748,1.0,0.5068027210884354
40,"frozenset({'TEQUILA', 'FLAVORED RUM', 'AMERICAN COCKTAILS'})",frozenset({'STRAIGHT BOURBON WHISKIES'}),0.0014749262536873156,0.08775811209439528,0.0014749262536873156,1.0,11.394957983193278,1.0,0.0013454895101852576,inf,0.9135893648449038,0.016806722689075626,1.0,0.5084033613445378
41,"frozenset({'IMPORTED VODKA', 'AMERICAN COCKTAILS', 'IRISH WHISKIES'})",frozenset({'VODKA FLAVORED'}),0.0011061946902654867,0.1544985250737463,0.0011061946902654867,1.0,6.47255369928401,1.0,0.0009352892421750594,inf,0.8464377999261721,0.007159904534606206,1.0,0.5035799522673031
42,"frozenset({'IMPORTED VODKA', 'VODKA FLAVORED', 'AMERICAN COCKTAILS'})",frozenset({'IRISH WHISKIES'}),0.0011061946902654867,0.02654867256637168,0.0011061946902654867,1.0,37.666666666666664,1.0,0.0010768266896389693,inf,0.9745293466223699,0.041666666666666664,1.0,0.5208333333333334
43,"frozenset({'IMPORTED VODKA - MISC', 'VODKA FLAVORED', 'IRISH WHISKIES'})",frozenset({'AMERICAN COCKTAILS'}),0.0011061946902654867,0.11946902654867257,0.0011061946902654867,1.0,8.37037037037037,1.0,0.0009740386874461586,inf,0.8815060908084164,0.009259259259259259,1.0,0.5046296296296297
44,"frozenset({'SINGLE MALT SCOTCH', 'IMPORTED VODKA - MISC', 'STRAIGHT BOURBON WHISKIES'})",frozenset({'AMERICAN COCKTAILS'}),0.0014749262536873156,0.11946902654867257,0.0014749262536873156,1.0,8.37037037037037,1.0,0.0012987182499282115,inf,0.8818316100443131,0.012345679012345677,1.0,0.5061728395061729
45,"frozenset({'MISCELLANEOUS  BRANDIES', 'generico', 'AMERICAN COCKTAILS'})",frozenset({'SCOTCH WHISKIES'}),0.0011061946902654867,0.13827433628318583,0.0011061946902654867,1.0,7.232,1.0,0.0009532363536690422,inf,0.8626799557032115,0.008,1.0,0.504
46,"frozenset({'PUERTO RICO & VIRGIN ISLANDS RUM', 'AMERICAN COCKTAILS', 'WHISKEY LIQUEUR'})",frozenset({'TEQUILA'}),0.0011061946902654867,0.11504424778761062,0.0011061946902654867,1.0,8.692307692307692,1.0,0.000978933354217245,inf,0.8859357696567,0.009615384615384616,1.0,0.5048076923076923
47,"frozenset({'TEQUILA', 'PUERTO RICO & VIRGIN ISLANDS RUM', 'WHISKEY LIQUEUR'})",frozenset({'AMERICAN COCKTAILS'}),0.0011061946902654867,0.11946902654867257,0.0011061946902654867,1.0,8.37037037037037,1.0,0.0009740386874461586,inf,0.8815060908084164,0.009259259259259259,1.0,0.5046296296296297
48,"frozenset({'PUERTO RICO & VIRGIN ISLANDS RUM', 'WHISKEY LIQUEUR'})","frozenset({'TEQUILA', 'AMERICAN COCKTAILS'})",0.0011061946902654867,0.010693215339233038,0.0011061946902654867,1.0,93.51724137931035,1.0,0.0010943659122353616,inf,0.9904023624953857,0.10344827586206896,1.0,0.5517241379310345
49,"frozenset({'SINGLE MALT SCOTCH', 'STRAIGHT BOURBON WHISKIES', 'SCOTCH WHISKIES'})",frozenset({'AMERICAN COCKTAILS'}),0.0018436578171091445,0.11946902654867257,0.0018436578171091445,1.0,8.37037037037037,1.0,0.0016233978124102644,inf,0.8821573697820465,0.015432098765432098,1.0,0.5077160493827161
50,"frozenset({'SINGLE MALT SCOTCH', 'STRAIGHT BOURBON WHISKIES', 'TEQUILA'})",frozenset({'AMERICAN COCKTAILS'}),0.0018436578171091445,0.11946902654867257,0.0018436578171091445,1.0,8.37037037037037,1.0,0.0016233978124102644,inf,0.8821573697820465,0.015432098765432098,1.0,0.5077160493827161
51,"frozenset({'SINGLE MALT SCOTCH', 'CANADIAN WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'BLENDED WHISKIES'}),0.0011061946902654867,0.029129793510324485,0.0011061946902654867,1.0,34.32911392405063,1.0,0.0010739714673558358,inf,0.9719453672942047,0.0379746835443038,1.0,0.5189873417721519
52,"frozenset({'SINGLE MALT SCOTCH', 'BLENDED WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'CANADIAN WHISKIES'}),0.0011061946902654867,0.0612094395280236,0.0011061946902654867,1.0,16.337349397590362,1.0,0.0010384851332654605,inf,0.939830195644149,0.018072289156626505,1.0,0.5090361445783133
53,"frozenset({'CANADIAN WHISKIES', 'BLENDED WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'STRAIGHT BOURBON WHISKIES'}),0.0014749262536873156,0.08775811209439528,0.0014749262536873156,1.0,11.394957983193278,1.0,0.0013454895101852576,inf,0.9135893648449038,0.016806722689075626,1.0,0.5084033613445378
54,"frozenset({'CANADIAN WHISKIES', 'STRAIGHT BOURBON WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'BLENDED WHISKIES'}),0.0014749262536873156,0.029129793510324485,0.0014749262536873156,1.0,34.32911392405063,1.0,0.0014319619564744476,inf,0.9723042836041358,0.05063291139240506,1.0,0.5253164556962026
55,"frozenset({'BLENDED WHISKIES', 'STRAIGHT BOURBON WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'CANADIAN WHISKIES'}),0.0014749262536873156,0.0612094395280236,0.0014749262536873156,1.0,16.337349397590362,1.0,0.0013846468443539474,inf,0.9401772525849335,0.024096385542168676,1.0,0.5120481927710844
56,"frozenset({'SINGLE MALT SCOTCH', 'BLENDED WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'STRAIGHT BOURBON WHISKIES'}),0.0011061946902654867,0.08775811209439528,0.0011061946902654867,1.0,11.394957983193278,1.0,0.0010091171326389431,inf,0.9132521225544481,0.012605042016806723,1.0,0.5063025210084033
57,"frozenset({'SINGLE MALT SCOTCH', 'STRAIGHT BOURBON WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'BLENDED WHISKIES'}),0.0011061946902654867,0.029129793510324485,0.0011061946902654867,1.0,34.32911392405063,1.0,0.0010739714673558358,inf,0.9719453672942047,0.0379746835443038,1.0,0.5189873417721519
58,"frozenset({'SINGLE MALT SCOTCH', 'CANADIAN WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'STRAIGHT BOURBON WHISKIES'}),0.0011061946902654867,0.08775811209439528,0.0011061946902654867,1.0,11.394957983193278,1.0,0.0010091171326389431,inf,0.9132521225544481,0.012605042016806723,1.0,0.5063025210084033
59,"frozenset({'SINGLE MALT SCOTCH', 'STRAIGHT BOURBON WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'CANADIAN WHISKIES'}),0.0011061946902654867,0.0612094395280236,0.0011061946902654867,1.0,16.337349397590362,1.0,0.0010384851332654605,inf,0.939830195644149,0.018072289156626505,1.0,0.5090361445783133
60,"frozenset({'IMPORTED VODKA - MISC', 'STRAIGHT BOURBON WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'VODKA FLAVORED'}),0.0011061946902654867,0.1544985250737463,0.0011061946902654867,1.0,6.47255369928401,1.0,0.0009352892421750594,inf,0.8464377999261721,0.007159904534606206,1.0,0.5035799522673031
61,"frozenset({'IMPORTED VODKA - MISC', 'AMERICAN DRY GINS', 'VODKA FLAVORED'})",frozenset({'STRAIGHT BOURBON WHISKIES'}),0.0011061946902654867,0.08775811209439528,0.0011061946902654867,1.0,11.394957983193278,1.0,0.0010091171326389431,inf,0.9132521225544481,0.012605042016806723,1.0,0.5063025210084033
62,"frozenset({'SINGLE MALT SCOTCH', 'CANADIAN WHISKIES', 'COFFEE LIQUEURS'})",frozenset({'BLENDED WHISKIES'}),0.0011061946902654867,0.029129793510324485,0.0011061946902654867,1.0,34.32911392405063,1.0,0.0010739714673558358,inf,0.9719453672942047,0.0379746835443038,1.0,0.5189873417721519
63,"frozenset({'SINGLE MALT SCOTCH', 'BLENDED WHISKIES', 'COFFEE LIQUEURS'})",frozenset({'CANADIAN WHISKIES'}),0.0011061946902654867,0.0612094395280236,0.0011061946902654867,1.0,16.337349397590362,1.0,0.0010384851332654605,inf,0.939830195644149,0.018072289156626505,1.0,0.5090361445783133
